step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
637,forward,1,2,2,success,10,6,6,1262
638,sniff_front,0,2,2,success,-1,8,1,1262
639,forward,1,2,2,success,10,8,2,1262
640,sniff_front,0,2,2,success,-1,8,3,1262
641,forward,1,2,0,fail,-1,8,3,1265
642,sniff_right,3,2,2,success,-1,9,1,1265
643,turn_right,4,2,2,success,-1,9,2,1265
644,forward,1,2,2,success,10,9,3,1265
645,sniff_front,0,2,2,success,-1,9,4,1265
646,forward,1,2,2,success,10,9,5,1265
647,sniff_front,0,2,2,success,-1,9,6,1265
648,forward,1,2,2,success,10,9,7,1265
649,sniff_front,0,2,2,success,-1,9,8,1265
650,forward,1,2,2,success,10,9,9,1268
651,sniff_front,0,2,2,success,-1,10,1,1268
652,forward,1,2,2,success,10,10,2,1268
653,sniff_front,0,2,2,success,-1,10,3,1268
654,forward,1,2,2,success,10,10,4,1268
655,sniff_front,0,2,2,success,-1,10,5,1268
656,forward,1,2,2,success,10,10,6,1268
657,sniff_front,0,2,2,success,-1,10,7,1268
658,forward,1,2,0,fail,-1,10,7,1272
659,sniff_left,2,2,0,fail,-1,9,0,1276
660,sniff_right,3,2,2,success,-1,5,1,1276
661,turn_right,4,2,2,success,-1,5,2,1276
662,forward,1,2,2,success,10,5,3,1276
663,sniff_front,0,2,2,success,-1,5,4,1276
664,forward,1,2,2,success,10,5,5,1279
665,sniff_front,0,2,2,success,-1,10,1,1279
666,forward,1,2,2,success,10,10,2,1279
667,sniff_front,0,2,2,success,-1,10,3,1279
668,forward,1,2,2,success,10,10,4,1279
669,sniff_front,0,2,2,success,-1,10,5,1279
670,forward,1,2,2,success,10,10,6,1279
671,sniff_front,0,2,2,success,-1,10,7,1279
672,forward,1,2,2,success,10,10,8,1279
673,sniff_front,0,2,2,success,-1,10,9,1279
674,forward,1,0,2,fail,10,10,9,1282
675,sniff_front,0,2,2,success,-1,10,1,1282
676,forward,1,2,2,success,10,10,2,1282
677,sniff_front,0,2,2,success,-1,10,3,1282
678,forward,1,2,2,success,10,10,4,1282
679,sniff_front,0,2,2,success,-1,10,5,1282
680,forward,1,2,2,success,10,10,6,1282
681,sniff_front,0,2,2,success,-1,10,7,1282
682,forward,1,2,4,fail,5,10,7,1288
683,sniff_front,0,0,2,fail,-1,1,0,1292
684,forward,1,2,2,success,10,9,1,1292
685,sniff_front,0,2,2,success,-1,9,2,1292
686,forward,1,2,2,success,10,9,3,1292
687,sniff_front,0,2,2,success,-1,9,4,1292
688,forward,1,2,0,fail,-1,9,4,1297
689,turn_right,4,2,2,success,-1,2,1,1297
690,forward,1,2,0,fail,-1,2,1,1301
